ds,,count,hate_speech,"offensive_language,",neither,class,tweet,,
w,5.52258840889029E+017,0,0,0,,0,"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",,
w,5.522592302085E+017,0,0,0,,0,@ummayman90 As a percentage there are very few. And they are usually poor women who marry a Muslim man. There is nothing persuasive in Islam,,
w,5.52259592634114E+017,0,0,0,,0,@ummayman90 Only an idiot would think that god wants to be feared. Muslims cannot think beyond the characteristics of an earthly tyrant.,,
w,5.52260022130864E+017,0,0,0,,0,"@ummayman90 Again, your entire concept of god corresponds to a tyrannical earthly egomaniac because you are simple and stupid. #Islam",,
w,5.52260502777102E+017,0,0,0,,0,"@ummayman90 Again, you miss the point that god is not interested in military rule, phony frauds like Mohammed who benefit from it are #Islam",,
w,5.5226113983737E+017,0,0,0,,0,@ummayman90 Exactly.  #Isam is a cult of death centered around the idea of going to a heaven that is described to be a giant whore house.,,
w,5.52261703241454E+017,0,0,0,,0,@ummayman90 Keep repeating and believing your brain dead fairy tales - and follow your prophets medical advice. http://t.co/2Zo1lQg88V,,
w,5.52262508711399E+017,0,0,0,,0,@ummayman90 #Islam is about forcing people to be Muslims.  Even your perverted Imams know it. http://t.co/e8m3w6ODvQ,,
w,5.52266284344554E+017,0,0,0,,0,@hananehs @haaretzcom As they see more and more of the vileness of Islam in action they will change their minds. http://t.co/nPOd1nWqZe,,
w,5.52302969283437E+017,0,0,0,,0,@Religiolizer The problem is that the cathedral doesn't understand that he prophet Mohammed declared war on all humanity 1400 years ago.,,
w,5.52304521637286E+017,0,0,0,,0,@ilhaam673 @B1236M Here is how #Islam inscribes the inferiority and abuse of women. http://t.co/wXassJMkTd,,
w,5.52309137896641E+017,0,0,0,,0,"@klassydaisy ISIS follows what is in the Quran and the Hadiths and Sharia exactly, to the letter. #Islam",,
w,5.52310296652829E+017,0,0,0,,0,"@LLiraqi Exactly.  Read the Quran and the Hadiths and find out for yourself how hateful, bigoted, sexist, vile and inhuman #Islam is.",,
w,5.5231114253908E+017,0,0,0,,0,@Nigzzzk There is no personal relationship with creator in Islam. Everything comes through a phony prophet and the only relationship is fear,,
w,5.52311743998071E+017,0,0,0,,0,@klassydaisy You are lying.  What does ISIS do that the prophet Mohammed did not do?  There are over 100 Islamic terrorist groups. #Islam,,
w,5.52313304358847E+017,0,0,0,,0,@Nigzzzk The command to fear Allah is all through the Quran.  The ritual of groveling on the ground is one of fear. No personal relationship,,
w,5.52313552154157E+017,0,0,0,,0,@Nigzzzk Do you grovel on the ground and fear other people that you have a personal relationship with?,,
w,5.52332311858262E+017,0,0,0,,0,"RT @Wet_Napkin: Bigotry towards non- Muslim populations, along with religious cleansing, is as old as Islam itself.",,
w,5.52336365854413E+017,0,0,0,,0,"Muslims claim that there is no racism in #Islam.  But like everything else they claim, it is a lie. http://t.co/PiR6nd159a",,
w,5.52346465520349E+017,0,0,0,,0,"RT @dsyndergaard: Israeli spat upon, beaten by Muslims singing anti-Semitic songs in Berlin http://t.co/ursJ1GdnuK",,
w,5.52351551688565E+017,0,0,0,,0,@pleeezing @warriorsialkot @akberc 1400 years ago the pedophile prophet declared war on all humanity.  So all humanity should hate Islam.,,
w,5.52352216376693E+017,0,0,0,,0,@NiceeNhess All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,,
w,5.52352897149977E+017,0,0,0,,0,@_Elreda I guess your idea of a Muslim joke looks like this. #Islam http://t.co/2WVivYIkk5,,
w,5.52487055553757E+017,0,0,0,,0,RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f…,,
w,5.52524577163989E+017,0,0,0,,0,"RT @riwired: .@ORehaf Oh No.Do NOT go to ""Islamic Center"" where they beat you down mentally w/double speak &amp; convert you asap! @izrinhariri…",,
w,5.52525214996005E+017,0,0,0,,0,@yousufpoosuf @RKingLive2Dance @izrinhariri The only thing that stopped Muslim slaughter in historical past was military defeat.,,
w,5.52526460876243E+017,0,0,0,,0,@yousufpoosuf @RKingLive2Dance @izrinhariri The reason why I have not been murdered is because I will kill any Muslim why tries.,,
w,5.52526654699237E+017,0,0,0,,0,@yousufpoosuf @RKingLive2Dance @izrinhariri And most Muslims are actually better behaved than their religion leads them to be.,,
w,5.52527064159769E+017,0,0,0,,0,@yousufpoosuf @RKingLive2Dance @izrinhariri But the fact that Islam is a declaration of war means that Islam will always produce terrorists.,,
w,5.52527629195428E+017,0,0,0,,0,"RT @riwired: There is no ""moderate Islam"" Islam is #Islam. #Sharia is Islam, no difference. @itsomar99 @VileIslam @BasimaFaysal http://t.co…",,
w,5.52528092691182E+017,0,0,0,,0,"RT @riwired: And every Muslim is a ""slave of Allah"" the more religious or ""Islamic"" the more damage and danger there is.@VileIslam  @ORehaf…",,
w,5.52530221073969E+017,0,0,0,,0,@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.,,
w,5.52530506756424E+017,0,0,0,,0,"RT @jemfleming: @riwired @GOP @VileIslam 'When the Muslim population in a region reaches a certain.. point, the agitation begins..' http://…",,
w,5.52530948496318E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri Who is justifying Christianity microbrain. I don't have a religion. Why are you hiding Islamic barbarity,,
w,5.52531880466457E+017,0,0,0,,0,"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",,
w,5.52532181038686E+017,0,0,0,,0,"RT @riwired: Look at all the land occupation in green, of ""Islamic domination"". We are being duped. @jemfleming  @GOP @VileIslam http://t.c…",,
w,5.52532522782171E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri Because Islam has over 100 operating terrorist groups and a mandate to conquer the world by violence.,,
w,5.52532883630723E+017,0,0,0,,0,"@HillaryGuess @riwired @izrinhariri Again, look at this chart and tell me were you get the ""a few"" idea. http://t.co/QSTtdz57VJ",,
w,5.52533207426798E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam attacked and conquered 2/3 of Christianity before there were any crusades.,,
w,5.52533544564953E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam has exterminated all kinds of minorities in the ME Saudi used to be full of minorities,,
w,5.52533736789914E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri @AtharHKhan Turkey and Egypt used to be mostly Christian and the Muslims have mostly exterminated them.,,
w,5.52534024334615E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri @AtharHKhan Now you see ISIS following the Quran and Hadiths and prophet exactly in their genocide.,,
w,5.52534253976969E+017,0,0,0,,0,@HillaryGuess @riwired @izrinhariri Why are you flapping your lips.  None of this is related to the barbarity of Islam?,,
w,5.52535646196494E+017,0,0,0,,0,"RT @riwired: .@HillaryGuess Most stupid comment. Hitler wasn't religious, that's a Muslim lie. Truth is Hitler admired Muslims @VileIslam @…",,
w,5.52535998723547E+017,0,0,0,,0,RT @riwired: .@HillaryGuess That pleased Hitler. Grand Mufti provided Hitler w/ armies of Muslim soldiers from Europe. #Tszarnev @VileIslam…,,
w,5.52553410218557E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan It's called execution or conversion at sword point.  You're welcome.,,
w,5.52554260957635E+017,0,0,0,,0,"@yousufpoosuf @RKingLive2Dance @izrinhariri No, the quotes mean exactly what they say. But most people are naturally less hateful than Islam",,
w,5.52554758809322E+017,0,0,0,,0,@yousufpoosuf @RKingLive2Dance @izrinhariri Inciting hatred is central to Islam in order to promote imperialism. http://t.co/kisCI219au,,
w,5.52555113366446E+017,0,0,0,,0,"@yousufpoosuf @RKingLive2Dance @izrinhariri But congratulations, you do get to put an X on the bullshit bing card. http://t.co/EYvQeNntHH",,
w,5.5255723468143E+017,0,0,0,,0,@ilhaam673 Just because I have no religion does't mean that I don't want to stop Islam from murdering. http://t.co/9KTe08yrfk,,
w,5.52557686592516E+017,0,0,0,,0,@ilhaam673 You don't need a perverted religion to feel compassion for humanity. http://t.co/T9Knt5tQmP,,
w,5.52558144845406E+017,0,0,0,,0,@B1236M @riwired @ilhaam673 @BasimaFaysal Look at the size of Israel.  And yet Muslims are slavering to destroy it. http://t.co/v8eV7D61eA,,
w,5.52558562564534E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets Jews used to live on 40% of the Arabian Penninsula.  Muslims have virtually exterminated them.,,
w,5.52558873458913E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets The Hadith about the Arabian Penninsula is why Muslims will not rest till they destroy Israel.,,
w,5.52559358643417E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,,
w,5.52559570917134E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets 120 million Africans murdered by Islam http://t.co/UYbGO0VcG7,,
w,5.52567397941797E+017,0,0,0,,0,"@ibnHlophe @eeviewonders @CTFleaMarkets Yes, it's murder for a fraudulent god.  If every religion used your excuse mankind would be dead.",,
w,5.52567745301455E+017,0,0,0,,0,"@ibnHlophe @eeviewonders @CTFleaMarkets You don't guarantee them protection, you guarantee them third class citizenship and extortion.",,
w,5.52567939669717E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets And for people who are not people of the book you guarantee them death or slavery.,,
w,5.52568185355239E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets We don't want to teach you. We want to stop your Taquiyya lying about it.,,
w,5.52568707244118E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets Thanks for admitting that you are murderers. And check your map. http://t.co/TheArY220E,,
w,5.52568932436296E+017,0,0,0,,0,"@ibnHlophe @eeviewonders @CTFleaMarkets Actually, it's Islam that has to be destroyed for it's crimes against humanity.",,
w,5.52569179791188E+017,0,0,0,,0,@ibnHlophe @eeviewonders @CTFleaMarkets Your prophet started exterminating Jews from the very beginning.  Like the destruction of Khybar.,,
w,5.52569711079485E+017,0,0,0,,0,"@ibnHlophe @eeviewonders @CTFleaMarkets Your text is a fraud brought by a pedophile, slave trader, rapist, murderer, bigot, sexist, robber.",,
w,5.5257864182603E+017,0,0,0,,0,@tariqahmadbt The idiots don't understand that the prophet of Islam declared war on all humanity 1400 years ago. http://t.co/fHElksY54r,,
w,5.52579242706235E+017,0,0,0,,0,@Muhammad1988x The real piss drinkers are the Muslims.  Here is the proof. http://t.co/eD031qpTR9,,
w,5.52599309535834E+017,0,0,0,,0,"@LLiraqi I guess if you call murder, rape, slavery, hatred, bigotry and sexism beautiful, then it is beautiful.",,
w,5.52602629730079E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Only because there were too many Hindus to exterminate before the British...,,
w,5.52602854469276E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan ...unseated the Muslims in power.  Now the Muslims are not in power either.,,
w,5.52603067472814E+017,0,0,0,,0,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Before the British showed up, the Muslims murdered 80 million Hindus.",,
w,5.52603232053101E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan And today there is still not peace between them because of the Muslims.,,
w,5.52603982170821E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan The only reason there is peace is because the Hindus are in power.,,
w,5.52604209787318E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Next door in Pakistan the Muslims still murder Christians and Hindus regularly,,
w,5.52604397218193E+017,0,0,0,,0,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan They claim, ""oh you insulted our religion"" and kill them.",,
w,5.52605492120273E+017,0,0,0,,0,@IftikharAwan Really? What are they doing that your prophet did not also do? http://t.co/FAsAWDISlH,,
w,5.52605945138643E+017,0,0,0,,0,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",,
w,5.52606096037126E+017,0,0,0,,0,@yousufpoosuf @HillaryGuess Islam has bloody borders everywhere and cannot get along with anyone.,,
w,5.52607578543243E+017,0,0,0,,0,"@RichardDawkins @AbuelitoSerge Really, Muslims understand this.  They just want to be able to use the name ""racism"" to shut us up.",,
w,5.52607836874604E+017,0,0,0,,0,"@RichardDawkins @AbuelitoSerge Same goes for the term ""Islamophobia"". It makes as much sense as ""Naziphobia"".",,
w,5.5262147241889E+017,0,0,0,,0,@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders We could deal with the violent fanatics if the texts of Islam weren't producing more.,,
w,5.52691455270339E+017,0,0,0,,0,@ibnHlophe @eeviewonders @sibanda_tapson @CTFleaMarkets Children grow out of their fairy tales.  Muslims never grow out of theirs.,,
w,5.52691920737419E+017,0,0,0,,0,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets All of the land the Muslims have they colonialized.,,
w,5.52692226477019E+017,0,0,0,,0,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets There's a huge lie.  They colonialized everything they have at sword point.,,
w,5.52692520757772E+017,0,0,0,,0,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets I guess it's time for you to learn about racism in Islam. http://t.co/2fcMyuE3Eu,,
w,5.52702190243316E+017,0,0,0,,0,@Pray_4_Life @Pontifex People who call being against Islam racist know that Islam is not race but want to intimidate others into shutting up,,
w,5.52703090038948E+017,0,0,0,,0,"@hu_4u The prophet Mohammed was a terrorist, and he knew Islam.",,
w,5.52704371981824E+017,0,0,0,,0,@ameerahusman Islam is for liars. http://t.co/5FqRv7WdUu,,
w,5.52704511098503E+017,0,0,0,,0,"RT @OmprakashSewa: Under Love Jihad, Muslims lure young Hindu girls &amp; then force them to convert to Islam. Romeos then go 4 their next prey…",,
w,5.52709319763173E+017,0,0,0,,0,@nura_skippor @ameerahusman Islam is 1000 years of contributing nothing to mankind but murder and hatred.,,
w,5.52710730945159E+017,0,0,0,,0,@CompoundMixture @CruisingBye @SuperiorMenArmy Are you delusional?  Islam is one of the most violent and barbaric. http://t.co/3uh4RhYbs1,,
w,5.52711982911324E+017,0,0,0,,0,"RT @PopeSweetMusic: @rbassilian @ProudPatriot101 @Protoshiv the question is, is there hope for a peacful coexisting islam. No. The answer i…",,
w,5.52712056403919E+017,0,0,0,,0,"RT @ProudPatriot101: @PopeSweetMusic @rbassilian @Protoshiv The Koran preaches murder, rape, paedophillia, slavery. It's a War Manual...",,
w,5.52713711048487E+017,0,0,0,,0,@hu_4u I read the Quran and the Hadiths.  Disgusting and inhuman.,,
w,5.72339184288981E+017,0,0,0,,1,The girls can cook for me anytime. Just not hot pot... or spatchcock. #MKR,,
w,5.72330821433967E+017,0,0,0,,1,These girls are pretty...awful. #gohome #MKR,,
w,5.723319387798E+017,0,0,0,,1,@mykitchenrules if the vapid duo of conceit get through tonight I'm not watching again #suicideblondes #mkr,,
w,5.72338808705847E+017,0,0,0,,1,They starting to act and look like a couple of B grade hookers to me #MKR,,
w,5.72338780671107E+017,0,0,0,,1,Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR,,
w,5.72338645950063E+017,0,0,0,,1,"“@walslab: Out of the two blondes, which one is Beavis and which is Butthead #MKR” Does it matter?",,
w,5.72338617772741E+017,0,0,0,,1,"those blond girls make me crazy, they are so annoying #mkr",,
w,5.72338299106292E+017,0,0,0,,1,Catching up with #MKR. If society judges these two as pretty then I really have no friggin hope.,,
w,5.72338147700294E+017,0,0,0,,1,"If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? #MKR",,
w,5.72337900366385E+017,0,0,0,,1,@mykitchenrules I think the pink has gone to the girls head #imbeautiful #MKR,,
w,5.72337688734384E+017,0,0,0,,1,Think these two girls have wayyy to many tickets kn themselves #MKR  #PromoGirls #promogirls i think not,,
w,5.72337676713513E+017,0,0,0,,1,If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves #mkr @mykitchenrules,,
w,5.72337676482838E+017,0,0,0,,1,"""Classy and elegant"" is one way of putting it... #mkr",,
w,3.19399851215434E+017,0,0,0,,1,Oh yeah Colin! Smash those girls! :D #MKR,,
w,5.72315829531882E+017,0,0,0,,1,Kel the butcher has never heard of these silly sausages on #mkr http://t.co/CHGKB1rirW,,
w,5.7233753540318E+017,0,0,0,,1,"@mykitchenrules Did Stevie Wonder choose these ""models""? #MKR",,
w,5.72337509159453E+017,0,0,0,,1,#MKR2015 #MKR why do they keep saying that they are so pretty,,
w,5.72337337318818E+017,0,0,0,,1,Is #mkr sexist then? Four of the six teams in the fourth instant restaurants are an all-female team.,,
w,5.72337330083643E+017,0,0,0,,1,"Nikki &amp; Katie is what happens when parents continually tell their kids, ""You're a winner in my eyes."" &amp; avoid constructive feedback #mkr",,
w,5.72337067436351E+017,0,0,0,,1,#MKR anyone can cook from a can girls.,,
w,5.72337021588414E+017,0,0,0,,1,"""We want everyone to know we are not just pretty faces"" noone said they were pretty though 😒 #MKR",,
w,5.72334784329876E+017,0,0,0,,1,SHUTUP ABOUT THE SASS &amp, READ SOME COOKERY BOOKS YOU TWIT. #MKR,
w,5.72336970979885E+017,0,0,0,,1,why is their whole menu dick related?!?!?! #MKR,,
w,5.72334859902845E+017,0,0,0,,1,STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS #MKR,,
w,5.72336919733903E+017,0,0,0,,1,This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway #cringeworthy #mkr,,
w,5.72336427867886E+017,0,0,0,,1,#MKR you'd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair...,,
w,5.7233685129139E+017,0,0,0,,1,Kim Kardashian's husband will grow his dick back by the time this series finishes. #MKR,,
w,5.7233679934063E+017,0,0,0,,1,What a riveting little lesson in walking the catwalk. Thanks ladies #MKR,,
w,5.72336047775871E+017,0,0,0,,1,The format to #mkr is stupid. It'll be about 10 weeks until we see the Cowboy and his fit daughter cook again.,,
w,5.72336719988588E+017,0,0,0,,1,"The missus loves #MKR if I have to watch five more minutes of these stuck up, idiotic, 2 bit hookers I'll neck myself. #goingtobed",,
w,5.72336657384407E+017,0,0,0,,1,yeah colin would be looking for more fat in his sausage.... #MKR,,
w,5.72335493586686E+017,0,0,0,,1,Gay fiancé is not going to cope being away from the fresh meat #MKR,,
w,4.6107656283032E+017,0,0,0,,1,Deb better be there tonight or #MKR can fuck me hard with a rusty chainsaw and call it mary....,,
w,5.72336451221758E+017,0,0,0,,1,“@CarlyandTresne: Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.” Yes OR else,,
w,5.72336406053323E+017,0,0,0,,1,"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",,
w,5.7233628018643E+017,0,0,0,,1,Will those killer blondes kill the whole dinner #MKR,,
w,5.72336260963938E+017,0,0,0,,1,Aww I was looking forward to Ash and Camilla butting heads with the promo girls. The drama would've been great #mkr,,
w,5.72336241871479E+017,0,0,0,,1,Absolutely #blondemoment #MKR,,
w,6.18367060117099E+017,0,0,0,,1,Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that.,,
w,5.72348358968263E+017,0,0,0,,1,So bummed the dull chicks on #MKR are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ,,
w,5.72346123349729E+017,0,0,0,,1,RT @FakeToniaTodman: My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB,,
w,5.72345164657648E+017,0,0,0,,1,RT @lilbeastunleash: its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR,,
w,5.72341234267648E+017,0,0,0,,1,RT @SimpsonMatt: Kim Kardashian has had marriages that didn't stretch as long as #MKR,,
w,5.72340845652808E+017,0,0,0,,1,"RT @Dazzling19: Just me, or hot blondes on #mkr not at all hot?? Just average!",,
