,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
14603,14953,3,0,3,0,1,RT @CarsonTyler85: @Thompson_Era hell yea ill rep your shirt to fam lol #BetterWithPets TeamDonny in this hoe &#128074;&#128074;
19463,19896,3,1,2,0,1,RT @kpips_forever: Nobody want no pussy 25 other niggas done had before
8410,8644,3,0,1,2,2,"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO"
11177,11464,3,0,1,2,2,I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll
18583,18992,3,0,3,0,1,"RT @arigold_88: You and yo bitch break up and she start ""lol"" at another nigga, she gone for good bruh."
18955,19374,3,0,3,0,1,RT @elchavaloko: @_WhitePonyJr_ @Buckm00se @Eric_Mariners i see you guys kicked this long haired faggot out your lil video game team
11325,11615,3,0,3,0,1,"I'm nice to everyone, but don't let this pretty smile confuse you, because i can turn to bitch in nanoseconds."
1608,1643,3,0,0,3,2,&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley
8293,8523,6,0,6,0,1,Called Eddie a hoe.... By mistake doe. Lol
22052,22519,3,1,2,0,1,This hoe car smell like nigga let off a sweet potato bomb in her shit!
17738,18139,3,0,3,0,1,RT @TheVoiceOfMiami: If you got to have every hoe you see you a weak nigga...
3015,3091,3,0,3,0,1,"@DetroitChe bitches be like.. ""it means something to me"""
18597,19008,3,1,2,0,1,"RT @awhooker: Contrary to belief, us queers don&#8217;t go around looking for things to be offended about. It&#8217;s just you cisheteros say the darne&#8230;"
17962,18365,3,0,3,0,1,"RT @VRTWxrk_Flash: Mac 10 lay on the floor like a matress ""@yungchipotle: Young based god came straight for the bitches"""
2988,3061,3,1,2,0,1,"@DeAdJAkE i just cant stand how people get all fucking amped about it, especially whiny bitches that even get scared at it"
8349,8579,3,0,3,0,1,Can't neva be a sucka for no bitch.. That ain't me
8019,8244,6,0,6,0,1,"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe."
21653,22116,3,2,1,0,0,Them queer ass shorts Rabchenko got on
1553,1587,3,0,3,0,1,&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;
10491,10769,3,0,3,0,1,"I hate when bitches be like ""I love him so much 11/2/2012&lt;3!!!"""
11208,11495,3,0,3,0,1,"I'm a dick and you ain't even got ya strap on, pussy"
13225,13551,3,1,2,0,1,Never go full retard....
1337,1366,3,0,3,0,1,&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol
2480,2533,3,0,3,0,1,@ArlisDoNotChill @ChiefKeef3OO wheres my bitch wit my sammich then?
20540,20987,3,1,2,0,1,Ronnie Radke's a fucking fag. Fronz owns his ass.
23501,23992,3,0,3,0,1,Your girls pussy smells like sour cream and onions
5005,5154,6,0,6,0,1,@Titan21Mtzzz you is a hoe
8121,8347,9,1,8,0,1,Bobby bitch
15955,16324,3,0,0,3,2,RT @KarlenaSkiff: Could never date someone with yellow teeth&#128567;
20754,21203,3,0,3,0,1,"She say she want a nigga like me
But that bitch mad cause she can't be my wifey"
22590,23066,3,0,3,0,1,What a hoe lol
5183,5335,3,0,3,0,1,@WyattNuckels who do you think I am bitch
10133,10406,3,0,3,0,1,I can't stand to see my ex with another ugly bitch &#128514;
23262,23746,3,0,3,0,1,You bitches make me sick
4678,4816,3,1,2,0,1,@SeymourBlanco you were supposed to hang w me this week nigger
8231,8458,3,2,1,0,0,Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life
10914,11197,3,1,2,0,1,I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;
15546,15911,3,0,3,0,1,"RT @Huntermoore: If she doesn't take it in the ass, tell the bitch you'll pass."
16485,16863,3,0,2,1,1,RT @Miss_Missouri11: Insecurities are such a bitch.
11850,12151,3,1,2,0,1,Is Moyles a retard lol? Starting Fellani instead ae RVP? Please come back Fergie #SirAlexFerguson #ManchesterUnited #ManchesterDerby #MUFC
22879,23359,3,0,3,0,1,Why everybody so hype to see these famous people naked y'all hoes just alike they just got money &#128557;
18409,18818,6,0,6,0,1,"RT @__iamjazz: ""@shaaaaayy_: i wish i was born in a different generation , cause yall just make my pussy bones hurt . sicken ass children .&#8230;"
21465,21927,3,1,2,0,1,That's why I tucked yo bitch u ignorant ass mother fucker
5252,5407,3,0,3,0,1,@Z_M_G_ thirsty hoes &#128129;
9147,9402,6,0,6,0,1,Follow ah bitch on ig tho 1inkkofrosess
3001,3076,3,0,3,0,1,@Deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass
16256,16628,3,0,1,2,2,RT @Lmao: When you eat food that's too hot and start breathing like a retarded dragon.
6538,6721,3,0,3,0,1,@la_di_daDEE try me pussy
6293,6474,3,0,3,0,1,"@jrlikeswhisky @ZwithR @NickEhlers01 You couldn't handle Iowa pussy - here, kitty, kitty, kitty --- http://t.co/1aNMKM4O9Y"
4339,4467,3,0,2,1,1,"@OleanderPlume But no joke I will say NO IT IS NOT an Oleander and wife will say Son of a bitch.. Ron, yes the hell it is get out your book"
17766,18167,3,0,1,2,2,"RT @ThomasKeneally: Obersturmfuhrer Matthias, my wife is a superb financial brian. Carry on with your labelling in her presence, and see ho&#8230;"
838,856,3,0,0,3,2,"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb"
2444,2495,3,3,0,0,0,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers
14804,15158,3,0,3,0,1,RT @Cspen335: Right you are! Have you heard of the 'dodo' bird? He's the one with Obama on his ass! http://t.co/0qHypwxzYh
5532,5690,3,1,2,0,1,"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum."
17401,17798,3,0,0,3,2,"RT @SportsCenter: Peyton Manning's remarkable season:
&#8226; 5,477 Pass yds (NFL record)
&#8226; 55 Pass TD (NFL record)
&#8226; 450 completions
&#8226; likely ho&#8230;"
7318,7527,3,0,3,0,1,"@wtf_swagggbro text me, my phone being a cunt whore."
6224,6402,3,0,3,0,1,@jaureguisturnt them bitches smell like my farts i been holdin in since 5th grade
21078,21531,3,0,0,3,2,"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @binniemouse was dying lol"
2026,2067,6,0,6,0,1,"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings ."
6607,6793,3,2,1,0,0,@luvvida You're right.. I be around my nig....
18964,19384,3,0,3,0,1,RT @elvisknievil: Hover parents are the ones who bitch the most about their children's dependence.
5165,5317,3,1,2,0,1,@Wu_Pac @bestfrycook stfu bitch
3193,3275,3,0,3,0,1,@FrankieJGrande ugly white bitch
21358,21820,3,0,3,0,1,That bitch Amanda ran away from me &#128514;
239,241,3,0,3,0,1,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
1432,1462,3,0,3,0,1,"&#8220;@Nadixo__: ""@joelxmontoya: I'm dreaming &#128525;&#128525; http://t.co/Y21PyZ5rai"" ewwww&#8221;bitch you must be fucked up &#128514;&#128514;"
2028,2069,3,1,2,0,1,' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU
13687,14023,3,0,2,1,1,Only the family in my eyes n bitch they rite heree
7051,7248,3,0,3,0,1,@slickvick47 @itstattoos it's not colored in... dumb dick
21915,22382,3,1,2,0,1,"This Amish bitch was rockin Gucci and her man was smokin a e-cig. Smh fake ass ""Amish"" ass bish!"
13539,13873,3,1,2,0,1,"Oh look, Cutler didn't step into his throw and threw an int. Nice flat footed throw cunt."
15968,16337,3,0,2,1,1,"RT @KayciMalynn: @__0utcast___ hey cunt, I miss you too &#128532;"
8203,8430,3,0,3,0,1,Brrr hoe dichter bij het Sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de proZwartePieten hoek. Engvolk
19935,20376,3,0,3,0,1,RT @rod4short: Bitch must have a 279.0 &amp; be related to Jesus then {@TheBSharp: GPA or Legacy RT @The_Lion_: How this bitch get in http://t.&#8230;
7571,7785,3,0,0,3,2,All I want is cheesy bread and brownies &#128523;
14181,14522,3,0,3,0,1,RT @AnayaL8ter: I'm sorry ya woman shouldn't be helping you out financially unless that's ya wife these hoes dumb
715,726,3,0,0,3,2,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........
4572,4708,3,2,1,0,0,"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy."
18339,18747,3,0,3,0,1,RT @_SadisticBitch: I'll never understand how people can fake an entire relationship? I can't even fake a 'hello' to a bitch that I fucking&#8230;
9647,9910,3,0,3,0,1,Hanging with my bitches I couldn't be more happy #thegoodlife
18151,18556,3,0,0,3,2,"RT @Yankees: Congrats to Derek Jeter, who will start at shortstop in his 14th and final All-Star Game! #FarewellCaptain http://t.co/5nhtJOx&#8230;"
19946,20387,3,1,2,0,1,"RT @rustymk2: Not. A. Fucking. Charge. Even. As. A. Juvenile. 

If you call #MichaelBrown a thug at this point, just say ""nigger"" cuz it's &#8230;"
23634,24128,3,0,3,0,1,bitch live a little.
4376,4506,3,0,0,3,2,@PWilliamsD I need some clams on the half shell :-). Down here all you can get is deep fried clam necks.
1929,1968,3,0,3,0,1,&#8220;@thomasemmanuelm: Colts nation...put yall money up&#8221;bitch chuassup we was just down 24
24139,24641,3,0,3,0,1,late upload bitches
21440,21902,3,0,0,3,2,That was trash. I'm just gonna put my phone down. Goodnight
9237,9493,3,0,3,0,1,Fuck all you hoes who keep giving my number to these colleges lmao
5026,5175,3,0,0,3,2,@Torn_Rose republican teabaggers should be jailed for treason.....
16612,16995,3,0,3,0,1,RT @NaziaBee: &#8220;@1waynostra: So jus don't be faithful cus u never kno what your bitch doing lmao&#8221;&#128553;&#128514;&#128514;&#128514;&#128128;&#128128;&#128128;&#128128;
14462,14808,3,0,0,3,2,"RT @BrandonTierney: Crooked number followed by shut down frame, love it. #Yankees"
21236,21697,3,0,3,0,1,"Suzan are you really going to make me get off this sofa to find some damn silverware, by golly you old bitch."
4271,4397,3,0,3,0,1,"@NicoleJeanxoxo @A_Mitchellll13 hahahaha ""move bitch get out the wayyyeee"""
18016,18420,3,0,2,1,1,RT @WORIDSTARHlPHOP: this kid definitely got the pussy after that game https://t.co/lVXbXMgStD
5407,5564,3,2,1,0,0,@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger
16267,16639,3,0,3,0,1,RT @LorenzoLuciano: Females always complaining about some shit niggas ain't doing right ....like bitches don't have flaws
12440,12752,3,0,3,0,1,Like stop being a bitch for 3.2 seconds.
19926,20367,3,0,3,0,1,"RT @ripstephanie_: ""let my shirt go bitch it's Aeropostale wtf is wrong with you "" &#128514;&#128557;&#128514; https://t.co/xM5s5HN7tq"
16090,16460,3,0,3,0,1,RT @KxngFrxsh: If ya friends always trynna get you to break-up wit ya nigga or do THOT shit wit them...Them bitches really ain't ya friends!
15894,16263,3,0,3,0,1,RT @JustHad_that: Good pussy &#128166;&#128049; comes with a smart ass mouth &#128068;&#128069; &amp; a crazy ass attitude &#128530;&#128175;
11758,12057,3,0,0,3,2,Im telling you man! RT @KfromtheG: Roethlisberger got his record expunged and became trash.
1362,1391,3,0,3,0,1,"&#8220;@KinggKI Im drunk, I'm bout to bitch.&#8221;need a ride?"
20037,20480,3,0,3,0,1,"RT @snoleezey801: @uce_INA poly ratchets.. Can't stand poly bitches in general &#128514; they loud, annoying, and they talk too much.."
17023,17413,3,0,3,0,1,RT @RakwonOGOD: When ya side hoe tryna act up http://t.co/ayfGKVdEZI
20788,21238,3,0,3,0,1,Shit is trash
18946,19365,3,0,3,0,1,RT @easy_edd: lifes a bitch
14920,15276,3,0,3,0,1,"RT @DamondDAWG: ""Peek a boo bitch, swag scare ya kids"" RT @Now_Thats_Fresh: What's Tyga's worst bar? #TygaBars"""
7738,7956,3,0,3,0,1,"And i didn't wanna come off as a bitch, so I took another hit, now I think I'm feeling to high"
20810,21261,3,0,2,1,1,ShoutOut to Brooklyn and this $3.47/gal gas. On my way to Atlantic to mess with ghetto girls working at Target now.
2277,2322,3,0,0,3,2,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT
7131,7330,3,1,2,0,1,@tcthegreat1 it's yo fault taking a nig out everyday
20410,20856,3,0,3,0,1,RT @yooSlim Y'all Virgo bitches gotta chill thinking y'all Beyonc&#232; &#128514;&#128514;&#128514;
14585,14934,3,0,3,0,1,RT @CallMeRenee_: The beat tho &#128076;bitch im trying bone
4641,4778,6,0,6,0,1,@SarahAuten bitch slap that asshole....with a chair!
1730,1765,3,0,3,0,1,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up
11682,11980,3,0,3,0,1,"If you're a male and ""hoes/hos"" and/or ""bitches"" is your default word for women...you gotta go. Remove yourself, please."
14186,14527,3,1,2,0,1,"RT @AndrogyneAdvent: The thing about Houston and Austin gays is 99% are hoes, ain't no wholesome bitches"
21609,22072,3,0,1,2,2,The redskins should change their name to the injuns
9409,9667,3,0,0,3,2,Get two birds stoned at one time.
23349,23835,3,1,2,0,1,You know i stay on fuck a bitch shit but with a street nigga thats what you gonna get .
21244,21705,3,0,3,0,1,Sweet and innocent schoolgirl Minami Asaka&#180;s pussy&#160;eaten http://t.co/DNxBLKrQ45
11238,11525,3,0,3,0,1,I'm beating bitch jay jay ass when I see this nigga . I really ova here dead tho &#128557;&#128514;&#128128;&#128514;&#128079;
7258,7465,3,0,3,0,1,@vinnyywright I don't care what they is they can catch them hoes
11581,11875,3,0,0,3,2,"If the Yankees can't beat the Red Sox, they don't even deserve to be in the playoffs #yankees #redsox #mlb"
17001,17391,3,1,2,0,1,RT @RWSurferGirl: Toss 'em out of office? Or just throw 'em in the trash? #trashbucketchallenge has politicians on the run at... https://t.&#8230;
10087,10360,3,0,3,0,1,I bought him a Sumblime shirt for his birthday too &#128532; I kinda wanna be a cunt and ask for it back lol #IndianGiver
14233,14574,6,0,6,0,1,"RT @AssholeOfDaYear: I hope my kids don&#8217;t disappoint me by coming out ugly, I got too many plans to get hoes indirectly with them."
21090,21543,3,0,3,0,1,Sometimes you don't wanna fuck the bitch but her head so good you end up fucking
14822,15177,3,1,2,0,1,RT @CuhCuhCuh: white hoes still wear UGG's in hot ass weather cuh
12434,12746,3,0,3,0,1,Like my momma said don't waste yo time on plzing des fake ass bitches and bum ass dudes cause they ain't gone get u nowhere but pregnant and
8615,8852,3,0,3,0,1,Damn I'm in da mood to eat sum pussy who got it fresh on a platter for me # teamfluffnevabluff
20547,20994,3,0,3,0,1,Ross got Amber Rose naked these hoes ain't loyal wiz
3468,3560,3,0,3,0,1,@IamEnidColeslaw He must think you bump pussy. I no mind. I'll eat your #thong and make you #squirt like the #geyser.
17623,18022,3,0,3,0,1,RT @ThatsComplex: Hate shit like this bitch can't make a decent meal but can take a hell of a thirst trap http://t.co/uHaON0TJDw&#8221;
23412,23899,3,0,3,0,1,You scared I ain't scared to beat the pussy up
13735,14071,3,0,3,0,1,Otters would make cool pets if they weren't such cunts.
8196,8423,3,1,2,0,1,Broke pussy boy Deion's record.
24499,25006,3,1,2,0,1,that lil bitch released the exclusive shower photos between niggas. #trustisbroken
23691,24185,3,0,3,0,1,bruh YouTube a bitch ass nigga bruh on me bruh.
11674,11970,3,1,2,0,1,If you tell a dyke she looks just like a nigga is that a compliment? I've always wondered that
11697,11996,3,1,2,0,1,If youu let yo bitch leave with another niggah and don't say shit thats on youu!
6885,7080,3,0,3,0,1,@radar_online to HELL with the plasticassed bitch!!
12789,13106,3,0,2,1,1,Maybe next time i day drink ill balance it out with my bitch mary jane cause #ItsLevelsTooThisShit
9901,10171,3,0,0,3,2,How about a Charles in Charge movie with Shia LeBouf as Charlie and Ryan Gosling as Buddy. #WhyNot.
7985,8208,3,0,3,0,1,Before I let a pussy cut my hair I just will let it grow
14991,15347,3,0,3,0,1,"RT @DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;"
300,305,6,0,6,0,1,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""
11176,11463,3,0,3,0,1,I'll keep all comments to myself about tho.... I'll just laugh about it with my nigs
2915,2986,3,1,2,0,1,@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback
23786,24281,3,2,1,0,0,dumb ugly stupid bullshit ass bitch &#128074;&#128074;&#128074;
18811,19228,3,0,3,0,1,RT @cthagod: All it takes is one bitch ass monkey or human to fuck up every bodies Peace and Serenity.
20998,21449,3,0,3,0,1,So you still don't suck dick or eat pussy in 2014?
23754,24248,3,0,3,0,1,did this bitch @ViVaLa_Ari really awake me from my slumber to help pick out her avatar tho
10163,10436,3,0,1,2,2,I couldn't press send. That tweet about anchor babies was even too raw for me.
15860,16229,6,1,5,0,1,"RT @Jordiiin_: &#128514;if you can fuck my bitch , then she ain't ""My Bitch""&#128080;"
1712,1747,3,1,2,0,1,&#8220;@candacevon: Niggas talk more then bitches these days &#128530;&#8221; #facts
7821,8041,3,1,2,0,1,As good as Percy Harvin and Peyton on the same team sound&#8230; That&#8217;s so retarded lmao
13443,13774,3,0,3,0,1,Not even sweating these hoes &#128524;&#128588;
15268,15628,9,1,8,0,1,RT @FuckYouIsaac_: Maury 70 years old still exposing hoes
17123,17514,3,0,2,1,1,RT @Roberto0oO0: @kitten_nugget69 @danusaur aye stfu you dyke lookin bitch I'm pretty sure you have a bigger dick than your boyfriend
11399,11691,3,0,3,0,1,I'm sticking with @tha_fluzzy07's theory that black pussy tastes like strawberry milk.
14102,14442,3,0,0,3,2,RT @A_single_bear: I accidentally ate a few fireflies last night while chewing some leaves I found. The shameful yellow glow of my mouth wa&#8230;
3078,3156,3,1,0,2,2,@Dswizzle3 @Dswizzle boy u look like big bird off of sesame street
18654,19067,3,0,0,3,2,RT @bigbluexpress: Cal has a day off and for giggles heads to Yankee stadium to hang with Derek Jeter. Yep coaching at UK is probably weari&#8230;
24600,25111,3,1,2,0,1,too bad ur a pussy
3209,3293,3,1,2,0,1,@FuckingCashBro you&#8217;re a little bitch x2
16518,16897,3,0,3,0,1,"RT @MrFourTwentyy: Everybody fckn everybody bitch &amp; everybody with the shit, that's life"
18127,18532,3,0,3,0,1,"RT @YBkalo: ""@CuhCuhCuh: bitches cant get the ios8 because they have over 10 gb of selfies cuh""&#128514;&#128514;&#128514;"
3623,3721,3,1,2,0,1,@JawShoeeAhhh bitch answer me lol
9875,10144,3,0,3,0,1,"Holy fuck. White bitch with ""4 baby daddy"" straight goes ""who uses condoms anyways"" 

Bitch maybe you should so you'd stay outta the clinic!"
1078,1102,3,0,3,0,1,&#8220;@44BINKO: Denzy tryna hoe broski Izzy &#128553;&#8221;&#128514;
8617,8854,3,0,2,1,1,Damn Kaepernick is trash man
18362,18771,3,0,0,3,2,RT @_WORDtotheWISE: I love when the birds are chirping in the morning #patsgonnasubtweet
439,445,3,0,3,0,1,"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7"
15002,15358,3,0,3,0,1,RT @Dino_FooL: Y'all ever just been having a normal day and your mind plays a horrible trick on you and give you a whiff of some good pussy&#8230;
12279,12590,3,0,3,0,1,"LMAOOO @ ""*gasp* that bitch""

Y'all do too much from behind a phone"
4338,4466,3,2,1,0,0,@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.
19108,19533,3,1,0,2,2,RT @hoez4sale: Lmao they all trash before &amp; after &#128530;&#128557;
17168,17560,3,0,1,2,2,"RT @SMACKHighAZ: ""Seton Catholic where their own students talk trash about how low of a division there football team is in."""
22385,22859,3,1,2,0,1,Uncle Tom ass muhfuckas.
20167,20612,3,0,0,3,2,RT @thereal_EMandM: Yankee Doodle had a farm. Cotton farm
11822,12123,3,0,3,0,1,"Instead of calling each other hoes, girls should be supporting each other. Idk that's just me though."
6777,6965,3,0,3,0,1,"@noah_55 also you can only refer to a girl as ""bitch"" if she has sucked your D #BetDat"
23750,24244,3,1,2,0,1,dear spoiled suburban bitch...
7482,7695,3,1,2,0,1,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!
18848,19265,3,0,0,3,2,"RT @daraobriain: Tommy Voeckler keeps the yellow, Andy Schleck does the break of the tour, and Contador is broken. Incredible day for #tdf"
15673,16039,3,0,3,0,1,RT @ItsJordyyyn: The reason high school is so fucking hard is because ned never made a guide for anything past 8th grade. You feel me? Fuck&#8230;
18337,18745,3,0,1,2,2,RT @_RiveraJustin: It's unattractive when girls act ghetto
673,683,3,0,3,0,1,#BestSongToHaveSexTo bitches love sosa #bangbang
21773,22238,3,0,3,0,1,These hoes ain't loyallll
4279,4406,3,0,3,0,1,@Niyas_Destani burnt tho .. Jus like a nicca &#128514;&#128514;
17652,18052,6,0,4,2,1,"RT @TheDouch3: Most overused hoe excuses
1. It's just lyrics
2. My friends party so I party 
3. Men do it too
4. And vice versa
5. I was yo&#8230;"
8285,8515,3,0,3,0,1,"Call a hoe a hoe, and a rat a rat"
16600,16982,3,0,3,0,1,RT @Naezus: I remember playing the Halo 4 episodes with @The_Paradox. The pussy finished all chapters without me. Fuck him.
22058,22525,3,0,3,0,1,"This hoe straight up disappeared on me, like where did you go ?"
5714,5878,3,0,3,0,1,@chanelisabeth cuz ur a bird bitch
16095,16465,3,0,3,0,1,RT @KyleLewsader: @TreVaughnLG retweets the most random shit just cause a bad bitch tweeted it &#128514;
14856,15212,3,0,3,0,1,RT @DFcuknAwesum: Kirk ain't nothing but a bitch #Love&amp;HipHop
14522,14870,3,0,3,0,1,RT @BuckeyeWearing: I want some popcorn hoes bol
8452,8686,3,0,0,3,2,Cheer up Charlie.
7553,7767,3,0,3,0,1,Alex Smith such a got damn bitch man
24305,24809,3,0,3,0,1,"ofcourse when someone asks what else to eat, jackass over here goes ""brownies"" BIG surprise here... #dingbat"
11285,11573,3,0,3,0,1,"I'm going to the movies this weekend, by myself. No BFFL, no bitch, no nigga, just me... #Solo"
20137,20582,3,0,3,0,1,RT @the_ironsheik: My #tbt I learn the English from that jabroni big bird but I break his fucking neck http://t.co/vDpIq8Zuxo http://t.co/4&#8230;
18700,19115,3,0,3,0,1,"RT @buckupside: What kind of world do we live in, where bitches are getting surgery to make their butts BIGGER!? Since when do women want a&#8230;"
20280,20725,3,0,3,0,1,RT @versaceezy: if we date u don't even gotta worry bout me talking to other hoes cus I ain't got any
18477,18886,3,2,0,1,0,RT @_missvain: Lmfaooooo &gt;RT @sirTurn3r: Lmaoo Thats what u got from this? RT @waddupivy: Dougie be yamming the coon all that beat boxing &#128553;
10378,10656,6,0,6,0,1,I got no respect for hoe shit
18014,18418,6,0,6,0,1,RT @WORIDSTARHlPHOP: bruh he threw that bitch https://t.co/rIsBmdzY26
9022,9274,3,1,2,0,1,Ewh bitch you look like an inbred.
10219,10496,3,0,3,0,1,I don't kick it with fuck nights and bitches
24419,24925,3,0,3,0,1,shitting on these crusty hoes http://t.co/1oOHx1y6Xt
4058,4179,3,0,3,0,1,@Maxwell_Larsen good bitch &#128527;
9099,9353,3,0,3,0,1,"Finally running the game and everybody trippin now, but Ion give a fuck I got their bitches drippin now."
15985,16354,3,0,0,3,2,RT @Ketamine_Stalin: IF A SINGLE WASP COULD READ THESE #WaspFacts TWEETS THERE COULD BE A PEACE TREATY BETWEEN WASPS AND MAN BUT WASPS ARE &#8230;
3461,3552,6,0,6,0,1,@ISmashedYoGurl @Jonathan_Scott_ ahhh stupid bitch!
977,999,3,0,0,3,2,&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?
23990,24487,3,0,3,0,1,i like chillin' with yo bitch I like fuckin' her
21701,22165,3,0,3,0,1,There's not enough day in the hours to cheat on her if she's sucking your dick right. Too drained to look for other mouth and pussy
20048,20491,3,0,2,1,1,RT @sorryimalex: idkmadz tbh I've seen you in recess at the monkey bars but I was too busy getting beat up lol ! we should talk more! rate &#8230;
9109,9364,4,0,4,0,1,Finna favorite my last tweet so niccas will kno I been knew wassup
